_id,type,geometry,properties,id
5f16543a4b8c2a921306efbf,Feature,"{'type': 'LineString', 'coordinates': [[-93.49747, 39.78088], [-93.68774, 39.66182]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Missouri Public Service Co.', 'Shape_Leng': 0.22445861207, 'Shape__Len': 27305.7288374744}",13902
5f16543b4b8c2a92130727da,Feature,"{'type': 'LineString', 'coordinates': [[-93.9374, 27.9165], [-93.954, 27.9127]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Transcontinental Gas PL', 'Shape_Leng': 0.01702938637, 'Shape__Len': 1908.90408555331}",28265
5f16543b4b8c2a9213072356,Feature,"{'type': 'LineString', 'coordinates': [[-104.544, 40.87859], [-104.45773, 40.8704]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Southern Star Central Gas PL Co.', 'Shape_Leng': 0.0866600649, 'Shape__Len': 9679.18423863492}",27112
5f16543b4b8c2a921307162c,Feature,"{'type': 'LineString', 'coordinates': [[-84.14624, 32.0617], [-84.14624, 32.17754]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'South Georgia Gas Pipeline Co.', 'Shape_Leng': 0.11584, 'Shape__Len': 15225.7003480718}",23740
5f16543b4b8c2a921307261e,Feature,"{'type': 'LineString', 'coordinates': [[-91.34771, 30.72268], [-91.32369, 30.72926], [-91.31835, 30.73086], [-91.29815, 30.7417], [-91.29119, 30.74526], [-91.29111, 30.7453], [-91.28144, 30.74922]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Transcontinental Gas PL', 'Shape_Leng': 0.07174494277, 'Shape__Len': 8188.93253653081}",27822
5f16543c4b8c2a9213073153,Feature,"{'type': 'LineString', 'coordinates': [[-97.49965, 41.92691], [-97.54752, 42.0032]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Tallgrass Interstate Gas Transmission', 'Shape_Leng': 0.09006435104, 'Shape__Len': 12603.3871624941}",30695
5f16543a4b8c2a9213071159,Feature,"{'type': 'LineString', 'coordinates': [[-121.4361, 39.04794], [-121.42003, 39.05926]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'California Gas Transmission Co.', 'Shape_Leng': 0.01965644118, 'Shape__Len': 2415.52102157802}",22505
5f16543a4b8c2a92130704f7,Feature,"{'type': 'LineString', 'coordinates': [[-87.90531, 41.13222], [-87.99613, 41.18557]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Northern Illinois Gas Co.', 'Shape_Leng': 0.10532392032, 'Shape__Len': 12822.3595846483}",19320
5f16543c4b8c2a9213073880,Feature,"{'type': 'LineString', 'coordinates': [[-95.07664, 30.08749], [-95.16211, 30.11475]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Kinder Morgan Texas Pipeline Co.', 'Shape_Leng': 0.08971504043, 'Shape__Len': 10140.8266163}",32530
5f16543b4b8c2a9213072a46,Feature,"{'type': 'LineString', 'coordinates': [[-100.60943, 37.00026], [-100.60954, 37.00018], [-100.60971, 37.00005], [-100.61638, 36.99287], [-100.62271, 36.98635], [-100.62614, 36.98425], [-100.63014, 36.98183], [-100.63116, 36.98117], [-100.63391, 36.97954], [-100.64361, 36.97379], [-100.6466, 36.9719], [-100.66023, 36.9636], [-100.66277, 36.96204], [-100.68113, 36.95132], [-100.68213, 36.95074], [-100.68367, 36.94986], [-100.68966, 36.94639], [-100.6933, 36.94537], [-100.69926, 36.9419], [-100.70239, 36.94034], [-100.70637, 36.93809], [-100.71022, 36.93569], [-100.71151, 36.9349], [-100.71761, 36.93145], [-100.72262, 36.92862], [-100.72889, 36.92502], [-100.73597, 36.9209], [-100.74713, 36.91462], [-100.75499, 36.91011], [-100.75953, 36.9077], [-100.76, 36.90551]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'ANR Pipeline Co.', 'Shape_Leng': 0.17943678725, 'Shape__Len': 21531.0889049416}",28882
