_id,type,properties,geometry
61e987ca2a70facd8cc9bb40,Feature,"{'FID': 46, 'Opername': 'KINDER MORGAN', 'Pipename': 'Cochin (East)', 'Shape_Leng': 0.876606788658, 'Shape__Length': 110817.887595415}","{'type': 'LineString', 'coordinates': [[-83.1032731459999, 42.294789474], [-83.107439141, 42.2971494870001], [-83.149809831, 42.280921799], [-83.178376516, 42.2458584550001], [-83.164835424, 42.2297946360001], [-83.163744803, 42.1955211540001], [-83.194046712, 42.1265869740001], [-83.23814521, 42.129901982], [-83.4988808639999, 41.9967968010001], [-83.6034828589999, 41.896940256], [-83.747688995, 41.8087461700001]]}"
61e987ca2a70facd8cc9bb1f,Feature,"{'FID': 16, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'TEPPCO', 'Shape_Leng': 1.35333339932, 'Shape__Length': 190194.937078581}","{'type': 'LineString', 'coordinates': [[-84.223687449, 39.4821190700001], [-84.008681681, 39.7172150480001], [-83.9405929279999, 40.1732264440001], [-84.085060904, 40.538807198], [-84.124087843, 40.7151289130001]]}"
61e987ca2a70facd8cc9bb44,Feature,"{'FID': 52, 'Opername': 'NUSTAR ENERGY', 'Pipename': 'NuStar LPG', 'Shape_Leng': 3.50547845357, 'Shape__Length': 414463.812083087}","{'type': 'LineString', 'coordinates': [[-97.207640246, 27.823007207], [-97.208526, 27.8620289990001], [-97.2869442689999, 27.9064661950001], [-97.366015611, 27.943163756], [-97.305627909, 28.117921412], [-97.220823492, 28.296642509], [-96.999884117, 28.4999381860001], [-96.633624088, 28.817995862], [-96.072409468, 29.1021746380001], [-95.737915462, 29.271022765], [-95.546150889, 29.4788450410001], [-95.428615189, 29.609896711], [-95.267794209, 29.6574756950001], [-95.266662259, 29.6802569590001], [-95.230079928, 29.704935925], [-95.2275804449999, 29.7163130050001], [-95.20300937, 29.7201062550001], [-94.952709285, 29.424466355]]}"
61e987ca2a70facd8cc9bb53,Feature,"{'FID': 55, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'ATEX', 'Shape_Leng': 19.8072943075, 'Shape__Length': 2394354.43022449}","{'type': 'LineString', 'coordinates': [[-94.893393347, 29.844409668], [-94.874616346, 29.8521546040001], [-94.8844823649999, 29.864919738], [-94.883702816, 29.870851944], [-94.849963911, 29.890753401], [-94.846177712, 29.9263044160001], [-94.861969705, 29.931159719], [-94.861280688, 29.9542842750001], [-94.7698158759999, 29.9706467900001], [-94.751164387, 29.928185854], [-94.69121495, 29.9121383730001], [-94.6717752119999, 29.912351276], [-94.6132844209999, 29.9129918620001], [-94.498005359, 29.9369221270001], [-94.2742117019999, 29.9377676610001], [-94.233489615, 29.9642521550001], [-94.20388539, 29.9471420900001], [-94.079376209, 29.985051758], [-94.040164041, 30.018126629], [-93.94878148, 30.11712162], [-93.941968469, 30.2242897400001], [-93.837367462, 30.6807633650001], [-93.179917815, 32.109778068], [-92.673773721, 33.1997313540001], [-92.190462385, 34.7201319170001], [-91.75910492, 35.129443135], [-90.5180743289999, 36.300132891], [-89.081357798, 37.513874306], [-88.175501888, 38.0757841810001], [-86.7331684169999, 38.4864456020001], [-85.9248959339999, 39.000712363], [-85.1182297889999, 39.3198592860001], [-84.846255436, 39.359798539], [-84.319656443, 39.5259336870001], [-83.073039395, 39.642808915], [-82.673713918, 39.7561132550001], [-82.3564414369999, 40.046533315], [-81.890258001, 40.196099511], [-81.806195698, 40.222813516], [-81.216475211, 40.278639071], [-80.653918226, 40.3848196070001], [-80.254729415, 40.2993671770001], [-80.25835022, 40.2627101590001]]}"
61e987ca2a70facd8cc9bb4f,Feature,"{'FID': 50, 'Opername': 'VANTAGE PIPELINE', 'Pipename': 'Stateline II  Lateral', 'Shape_Leng': 0.813109790892, 'Shape__Length': 117888.51426273}","{'type': 'LineString', 'coordinates': [[-103.651200845, 48.737502126], [-103.651578278, 48.735021434], [-103.689445643, 48.7287284010001], [-103.688971746, 48.6773521870001], [-103.749372564, 48.6538043250001], [-103.744204471, 48.6335805310001], [-103.807788523, 48.633643874], [-103.80499457, 48.6186060740001], [-103.787594226, 48.618419094], [-103.787247625, 48.5682176540001], [-103.799959133, 48.5683655780001], [-103.799977825, 48.5542638050001], [-103.845935159, 48.553637419], [-103.847157077, 48.550517789], [-103.86370834, 48.550256446], [-103.863342976, 48.4889716530001], [-103.874042766, 48.488796473], [-103.874562277, 48.460037798], [-103.881641018, 48.460014314], [-103.88207214, 48.4580913070001], [-103.907273562, 48.4578094280001], [-103.912932593, 48.385213606], [-103.9239176, 48.377669337], [-103.931312177, 48.299785651], [-103.928460192, 48.2412171920001], [-103.950135764, 48.241270134], [-103.950867927, 48.2306308440001], [-103.945291504, 48.2312728950001]]}"
61e987ca2a70facd8cc9bb16,Feature,"{'FID': 11, 'Opername': 'BUCKEYE PARTNERS', 'Pipename': 'Buckeye', 'Shape_Leng': 1.2986803853, 'Shape__Length': 173891.676291112}","{'type': 'LineString', 'coordinates': [[-85.49998164, 40.911393294], [-86.304, 39.8915279990001]]}"
61e987ca2a70facd8cc9bb26,Feature,"{'FID': 27, 'Opername': 'CHEVRON', 'Pipename': 'West Texas LPG', 'Shape_Leng': 1.58045428406, 'Shape__Length': 181917.259194998}","{'type': 'LineString', 'coordinates': [[-100.75972068, 32.3918442510001], [-100.6650666, 32.0854215630001], [-101.92478616, 32.0934730820001]]}"
61e987ca2a70facd8cc9bb6d,Feature,"{'FID': 82, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Mid-America Pipeline Company', 'Shape_Leng': 0.964076842557, 'Shape__Length': 112111.124389497}","{'type': 'LineString', 'coordinates': [[-109.07737032, 39.8007661140001], [-109.032146914, 39.8005992300001], [-108.975328516, 39.804544972], [-108.927248229, 39.801443229], [-108.893081178, 39.8232284160001], [-108.858803784, 39.8323862620001], [-108.827663069, 39.8246240760001], [-108.698649376, 39.837647523], [-108.681609527, 39.8262617830001], [-108.649797987, 39.833861061], [-108.609698544, 39.830941615], [-108.453329454, 39.906554338], [-108.35644239, 39.902183686], [-108.357215595, 39.920231223], [-108.322681766, 39.9536252820001], [-108.293267625, 39.9342655580001], [-108.261611511, 39.9238739350001], [-108.24055983, 39.9070377630001], [-108.197507206, 39.898648226], [-108.193944835, 39.8933096970001]]}"
61e987ca2a70facd8cc9bb4b,Feature,"{'FID': 58, 'Opername': 'CROSSTEX ENERGY', 'Pipename': 'Cajun-Sibon I', 'Shape_Leng': 2.21081662321, 'Shape__Length': 248350.26523173}","{'type': 'LineString', 'coordinates': [[-94.675091083, 30.0425088310001], [-94.370579327, 30.1345568200001], [-94.164661275, 30.15790846], [-94.062384534, 30.1482885670001], [-94.026640634, 30.1959308150001], [-93.9169821189999, 30.206493575], [-93.851410965, 30.2406143380001], [-92.530556114, 30.460833315]]}"
61e987ca2a70facd8cc9bb5a,Feature,"{'FID': 77, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Aegis', 'Shape_Leng': 1.9964694342, 'Shape__Length': 224757.481291354}","{'type': 'LineString', 'coordinates': [[-92.146932679, 30.0852396120001], [-92.147618892, 30.1151399170001], [-92.3652924099999, 30.1297029180001], [-92.6836746229999, 30.157223195], [-93.192397575, 30.1541769720001], [-93.205450465, 30.15407889], [-93.204535307, 30.1470133020001], [-93.269910329, 30.1459439860001], [-93.272226774, 30.142537894], [-93.274647239, 30.139092443], [-93.2878354549999, 30.1389988720001], [-93.300205099, 30.150823621], [-93.3310850189999, 30.1683675580001], [-93.3478599329999, 30.168369254], [-93.351987768, 30.1664029070001], [-93.434243667, 30.110192883], [-93.539373607, 30.0622405890001], [-93.9756774429999, 30.057472201], [-94.024269986, 30.0321100240001], [-94.05012128, 30.012044971]]}"
